;Francis reversible pump-turbine characteristic FR300T-Torrao a0=1_added
;a0=1 mm added (somehow created according to a0=4 mm and a0=2 mm), a0 closed added
;T11 at a0 closed taken from created a0=1
;Model Francis
;a0max = 38 mm
;y    N11    Q11    T11
<list>
a0	N11	Q11	T11
0.842105263	-47.6758329	0.598725952	962.8953829
0.842105263	-38.15144378	0.690756332	1084.352782
0.842105263	-28.69774069	0.751941787	1201.361862
0.842105263	-22.25678693	0.791790047	1284.115404
0.842105263	-15.71985119	0.84064481	1442.898149
0.842105263	-10.24297974	0.867987063	1569.754817
0.842105263	9.952494721	0.950476833	1675.513625
0.842105263	19.99611176	0.987605879	1528.143678
0.842105263	30.15682834	1.017524927	1479.476773
0.842105263	40.27903387	1.05058665	1448.531697
0.842105263	49.88202208	1.073059713	1396.982869
0.842105263	59.94528568	1.104526683	1379.114
0.842105263	62.57578545	1.102597545	1343.574274
0.842105263	65.16205341	1.107990711	1323.136127
0.842105263	67.4941387	1.110360142	1298.707362
0.842105263	69.95810048	1.109010912	1264.691843
0.842105263	72.5694971	1.108942783	1228.75201
0.842105263	75.06947297	1.109558631	1195.461841
0.842105263	77.41246191	1.109089737	1165.731755
0.842105263	78.9270295	1.110453126	1147.432412
0.842105263	80.50555918	1.111300946	1132.277937
0.842105263	82.02060745	1.114061786	1115.97918
0.842105263	83.57489116	1.115500859	1097.773388
0.842105263	85.00830899	1.116172433	1081.642382
0.842105263	86.49984115	1.118785856	1066.66936
0.842105263	88.0576764	1.11889995	1050.942365
0.842105263	89.52707195	1.121771209	1036.14229
0.842105263	90.97557132	1.123210059	1021.423634
0.842105263	92.47687427	1.125077486	1006.740477
0.842105263	95.1464372	1.129425421	980.9505431
0.842105263	97.44388529	1.132282789	957.2545157
0.842105263	99.886152	1.135653326	931.8290901
0.842105263	102.6205752	1.139802394	903.7138248
0.842105263	104.9692788	1.143200901	877.8378122
0.842105263	107.68401	1.144756056	838.638277
0.842105263	109.8870995	1.14511462	801.4187607
0.842105263	112.5506675	1.142089682	747.4042521
0.842105263	114.9264356	1.138444759	697.2668764
0.842105263	117.5273429	1.134750893	644.0638375
0.842105263	119.8572893	1.128920743	587.5068616
0.842105263	122.181764	1.04509815	291.4283034
0.842105263	124.2923333	0.940033949	22.27515783
0.842105263	125.3379299	0.800921471	-230.9077365
0.842105263	125.2797577	0.702821434	-370.4830544
0.842105263	124.6004878	0.624315936	-477.6126087
0.842105263	124.0028468	0.584578817	-508.6300077
0.842105263	117.2354602	0.237258222	-734.9267859
0.842105263	110.4862656	-0.014995141	-728.3732388
0.842105263	109.8979547	-0.041299641	-792.854658
0.842105263	109.4771895	-0.066576059	-829.9679824
0.842105263	108.8841615	-0.094803756	-867.8290174
0.842105263	108.2026476	-0.129506318	-916.1066251
0.842105263	107.7594556	-0.153319814	-951.6832933
